"","index","worms_sciname","min_lat","max_lat"
"306","306","Paradialychone cincta",60.0410003662,61.10583
"307","307","Paradialychone ecaudata",25.591667,58.5925
"308","308","Paradialychone eiffelturris",31.815731,31.815731
"309","309","Paraehlersia articulata",34.1049995422,41.96900177
"310","310","Paranaitis polynoides",25.04,52.721667
"311","311","Parasabella media",27.919167,56.5849990845
"312","312","Parasabella rugosa",47.25,47.5099983215
"313","313","Parexogone acutipalpa",32.766998291,34.9297218323
"314","314","Parexogone breviseta",32.766998291,34.0709991455
"315","315","Parexogone brunnea",33.72083,33.72083
"316","316","Peinaleopolynoe elvisi",36.613,36.772166666667
"317","317","Peinaleopolynoe goffrediae",36.61316,36.6132
"318","318","Peinaleopolynoe orphanae",36.7721,36.7721
"319","319","Peinaleopolynoe santacatalina",32.77164,33.4936
"320","320","Pelogenia fimbriata",28.173333,32.4169998169
"321","321","Perinereis anderssoni",31.294389,31.294389
"322","322","Perinereis elenacasoi",31.328611,31.328611
"323","323","Perinereis monterea",31.8056456594948,41.3472213745
"324","324","Perinereis villalobosi",31.706944,32.361111
"325","325","Pholoe baltica",37.665278,37.665278
"326","326","Pholoe courtneyae",37.3847,37.4506
"327","327","Pholoe glabra",31.82275,57.63
"328","328","Pholoe longa",50.16,58.605
"329","329","Pholoides asperus",31.784634,60.7120018005
"330","330","Phyllodoce",49.458,49.631
"331","331","Phyllodoce citrina",47.9900016785,53.5
"332","332","Phyllodoce cuspidata",32.5859985352,48.8199996948
"333","333","Phyllodoce hartmanae",25.975,48.9799995422
"334","334","Phyllodoce longipes",25.601667,48.984
"335","335","Phyllodoce madeirensis",25.556667,52.1494102478
"336","336","Phyllodoce medipapillata",25.7635,51.697033
"337","337","Phyllodoce mucosa",25.04,59.558333
"338","338","Phyllodoce multipapillata",46.21667099,46.25
"339","339","Phyllodoce multiseriata",37.850833,56.979167
"340","340","Phyllodoce pettiboneae",31.766701,47.60237
"341","341","Phyllodoce tuberculosa",31.315217,31.521591
"342","342","Phyllodoce williamsi",37.49403,53.59
"343","343","Phylo felix",25.975,54.2999992371
"344","344","Phylo norvegica",57.7150001526,57.7150001526
"345","345","Phylo nuda",37.268833,38.3294410706
"346","346","Phylo ornata",33.7137,33.714
"347","347","Pionosyllis gigantea",49.971667,58.861667
"348","348","Pionosyllis magnifica",25.586667,56.946533
"349","349","Pisione hermansi",38.316667,38.316667
"350","350","Pisione remota",25.598333,53.5
"351","351","Platynereis bicanaliculata",26.966667,60.484444
"352","352","Platynereis dumerilii",26.776667,48.366667
